"site number","site location","cluster","site acronym","arsenic (ug/L)","perchlorate (ug/L)","date","BDL"
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",9.7,NA,2004-12-07,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",10.1,NA,2004-12-07,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",3.3,NA,2004-12-07,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",10.5,NA,2004-12-07,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",3.3,NA,2004-12-07,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2004-12-07,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",10.5,NA,2004-12-07,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",10.9,NA,2004-12-07,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",10.2,NA,2004-12-07,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",6.2,NA,2004-12-07,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",9.9,NA,2004-12-07,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2004-12-07,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",NA,NA,2004-12-07,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",NA,NA,2004-12-07,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",NA,NA,2004-12-07,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",9.3,NA,2004-12-07,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",9.6,NA,2004-12-07,NA
"R25","verde river at beeline highway","verde","verde @ beeline",12.3,NA,2004-12-07,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",NA,NA,2004-12-07,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",NA,NA,2004-12-07,NA
"R3","Waddell Canal","cap","waddell canal",2.7,NA,2004-12-07,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",NA,NA,2004-12-07,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",NA,NA,2004-12-07,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",5.2,NA,2004-12-07,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",5.4,NA,2004-12-07,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",5.3,NA,2004-12-07,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",10.5,NA,2004-12-07,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",5.3,NA,2004-12-07,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",NA,NA,2004-12-07,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",3,NA,2004-12-07,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2004-12-07,NA
"Green In","Greenway WTP Inlet","srp","Green In",NA,NA,2005-01-18,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",NA,NA,2005-01-18,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",4.5,NA,2005-01-18,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2005-01-18,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",6.7,NA,2005-01-18,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",NA,NA,2005-01-18,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",NA,NA,2005-01-18,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2005-01-18,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",NA,NA,2005-01-18,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4.9,NA,2005-01-18,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2005-01-18,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",NA,NA,2005-01-18,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",NA,NA,2005-01-18,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",NA,NA,2005-01-18,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",NA,NA,2005-01-18,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",NA,NA,2005-01-18,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",NA,NA,2005-01-18,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",7.5,NA,2005-01-18,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2005-01-18,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",7.2,NA,2005-01-18,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",NA,NA,2005-01-18,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",NA,NA,2005-01-18,NA
"R25","verde river at beeline highway","verde","verde @ beeline",6.1,NA,2005-01-18,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.6,NA,2005-01-18,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.5,NA,2005-01-18,NA
"R3","Waddell Canal","cap","waddell canal",4.5,NA,2005-01-18,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",7.4,NA,2005-01-18,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",7.1,NA,2005-01-18,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",6.2,NA,2005-01-18,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",5.3,NA,2005-01-18,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",5.6,NA,2005-01-18,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",6.5,NA,2005-01-18,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",8,NA,2005-01-18,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",0,NA,2005-01-18,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",4.9,NA,2005-01-18,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2005-01-18,NA
"Green In","Greenway WTP Inlet","srp","Green In",7,NA,2005-02-15,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",NA,NA,2005-02-15,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2.1,NA,2005-02-15,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2005-02-15,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5.3,NA,2005-02-15,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",7,NA,2005-02-15,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",NA,NA,2005-02-15,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2005-02-15,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",6.9,NA,2005-02-15,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4.7,NA,2005-02-15,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2.9,NA,2005-02-15,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",6.9,NA,2005-02-15,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",6.9,NA,2005-02-15,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",8,NA,2005-02-15,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",NA,NA,2005-02-15,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",8.9,NA,2005-02-15,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2005-02-15,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",7.5,NA,2005-02-15,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2.6,NA,2005-02-15,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",5.3,NA,2005-02-15,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",7.2,NA,2005-02-15,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",6.8,NA,2005-02-15,NA
"R25","verde river at beeline highway","verde","verde @ beeline",7.1,NA,2005-02-15,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",4.2,NA,2005-02-15,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",4.9,NA,2005-02-15,NA
"R3","Waddell Canal","cap","waddell canal",2.7,NA,2005-02-15,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",6.8,NA,2005-02-15,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",8.3,NA,2005-02-15,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",7.7,NA,2005-02-15,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",7.7,NA,2005-02-15,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",5.8,NA,2005-02-15,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",6.8,NA,2005-02-15,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",6.6,NA,2005-02-15,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",0,NA,2005-02-15,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",4.1,NA,2005-02-15,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2005-02-15,NA
"Green In","Greenway WTP Inlet","srp","Green In",6.1,NA,2005-03-15,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",NA,NA,2005-03-15,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",6.2,NA,2005-03-15,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2005-03-15,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5.7,NA,2005-03-15,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",5.2,NA,2005-03-15,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",NA,NA,2005-03-15,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2005-03-15,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",0,NA,2005-03-15,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4.2,NA,2005-03-15,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",3.2,NA,2005-03-15,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",5.5,NA,2005-03-15,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",5.2,NA,2005-03-15,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",6.6,NA,2005-03-15,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",NA,NA,2005-03-15,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",5.3,NA,2005-03-15,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2005-03-15,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",NA,NA,2005-03-15,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2.8,NA,2005-03-15,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",9.2,NA,2005-03-15,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",0,NA,2005-03-15,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",6.2,NA,2005-03-15,NA
"R25","verde river at beeline highway","verde","verde @ beeline",0,NA,2005-03-15,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",4.1,NA,2005-03-15,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.7,NA,2005-03-15,NA
"R3","Waddell Canal","cap","waddell canal",2.7,NA,2005-03-15,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",5.1,NA,2005-03-15,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",4.9,NA,2005-03-15,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",4.1,NA,2005-03-15,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",4.5,NA,2005-03-15,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",4,NA,2005-03-15,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",0,NA,2005-03-15,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",5.1,NA,2005-03-15,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",0,NA,2005-03-15,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",3.4,NA,2005-03-15,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2005-03-15,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.5,NA,2005-04-12,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",2.4,NA,2005-04-12,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2.1,NA,2005-04-12,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2005-04-12,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5.4,NA,2005-04-12,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.4,NA,2005-04-12,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",5.4,NA,2005-04-12,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2.8,NA,2005-04-12,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",4.7,NA,2005-04-12,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",6,NA,2005-04-12,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2005-04-12,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",6.1,NA,2005-04-12,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",7.2,NA,2005-04-12,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",6,NA,2005-04-12,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2005-04-12,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",6.7,NA,2005-04-12,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2005-04-12,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",4.6,NA,2005-04-12,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2005-04-12,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",13.2,NA,2005-04-12,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",5.2,NA,2005-04-12,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",5.8,NA,2005-04-12,NA
"R25","verde river at beeline highway","verde","verde @ beeline",8.6,NA,2005-04-12,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",4.1,NA,2005-04-12,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3,NA,2005-04-12,NA
"R3","Waddell Canal","cap","waddell canal",3.5,NA,2005-04-12,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",5.6,NA,2005-04-12,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",6.2,NA,2005-04-12,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",5.8,NA,2005-04-12,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",5.8,NA,2005-04-12,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",5.7,NA,2005-04-12,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",6.5,NA,2005-04-12,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",NA,NA,2005-04-12,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",NA,NA,2005-04-12,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2.9,NA,2005-04-12,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2005-04-12,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.9,NA,2005-05-17,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",0,NA,2005-05-17,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2,NA,2005-05-17,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2005-05-17,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",6.2,NA,2005-05-17,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",5.6,NA,2005-05-17,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",5.4,NA,2005-05-17,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",0,NA,2005-05-17,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",6,NA,2005-05-17,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",5.3,NA,2005-05-17,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2,NA,2005-05-17,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",6.2,NA,2005-05-17,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",5.3,NA,2005-05-17,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",5.9,NA,2005-05-17,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2005-05-17,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",6,NA,2005-05-17,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2005-05-17,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",6.4,NA,2005-05-17,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2005-05-17,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",23.1,NA,2005-05-17,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",6.5,NA,2005-05-17,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",5.6,NA,2005-05-17,NA
"R25","verde river at beeline highway","verde","verde @ beeline",6.4,NA,2005-05-17,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.6,NA,2005-05-17,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",4,NA,2005-05-17,NA
"R3","Waddell Canal","cap","waddell canal",0,NA,2005-05-17,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",6.4,NA,2005-05-17,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",6,NA,2005-05-17,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",6.4,NA,2005-05-17,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",6.4,NA,2005-05-17,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",4.7,NA,2005-05-17,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",6.2,NA,2005-05-17,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",7.7,NA,2005-05-17,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",0,NA,2005-05-17,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",0,NA,2005-05-17,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2005-05-17,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.9,NA,2005-06-14,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",0,NA,2005-06-14,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",0,NA,2005-06-14,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2005-06-14,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",4.1,NA,2005-06-14,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",3.8,NA,2005-06-14,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",4.9,NA,2005-06-14,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",0,NA,2005-06-14,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",4.8,NA,2005-06-14,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4.3,NA,2005-06-14,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2.2,NA,2005-06-14,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",5.1,NA,2005-06-14,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.7,NA,2005-06-14,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",5.6,NA,2005-06-14,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2005-06-14,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",4.2,NA,2005-06-14,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2005-06-14,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",3.6,NA,2005-06-14,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2005-06-14,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",NA,NA,2005-06-14,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",4.7,NA,2005-06-14,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.9,NA,2005-06-14,NA
"R25","verde river at beeline highway","verde","verde @ beeline",6.2,NA,2005-06-14,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",4.2,NA,2005-06-14,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.1,NA,2005-06-14,NA
