"site number","site location","cluster","site acronym","date","e_coli","coliform","mycobacterium","mycobacterium_flag","Comments"
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2021-07-01,276,989,21,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2021-07-01,176,652,9,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2021-07-01,312,683,21,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2021-07-01,232,821,29,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2021-07-01,NA,NA,27,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2021-07-01,NA,NA,23,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2021-07-01,NA,NA,9,NA,NA
"R3","Waddell Canal","cap","waddell canal",2021-07-01,NA,NA,11,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2021-07-01,222,967,19,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2021-08-01,420,826,52,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2021-08-01,300,776,61,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2021-08-01,353,NA,34,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2021-08-01,20,870,119,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2021-08-01,390,NA,70,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2021-08-01,44,580,26,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2021-08-01,154,810,33,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2021-08-01,370,NA,69,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2021-08-01,340,560,92,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2021-08-01,475,NA,41,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2021-08-01,NA,NA,125,NA,NA
"R3","Waddell Canal","cap","waddell canal",2021-08-01,8,360,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2021-08-01,204,NA,47,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2021-09-01,58,1207,52,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2021-09-01,44,588,61,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2021-09-01,37,481,34,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2021-09-01,84,924,119,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2021-09-01,70,566,70,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2021-09-01,61,783,26,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2021-09-01,2,247,33,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2021-09-01,132,479,69,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2021-09-01,119,NA,92,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2021-09-01,46,621,41,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2021-09-01,92,1003,125,NA,NA
"R3","Waddell Canal","cap","waddell canal",2021-09-01,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2021-09-01,19,398,47,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2021-10-01,155,2125,30,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2021-10-01,133,2259,24,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2021-10-01,131,814,14,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2021-10-01,119,1962,68,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2021-10-01,142,1603,23,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2021-10-01,67,1043,19,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2021-10-01,48,1571,12,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2021-10-01,97,2009,7,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2021-10-01,83,1766,6,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2021-10-01,54,756,13,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2021-10-01,94,2317,37,NA,NA
"R3","Waddell Canal","cap","waddell canal",2021-10-01,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2021-10-01,162,1498,31,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2021-11-01,13,577,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2021-11-01,0,426,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2021-11-01,11,201,NA,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2021-11-01,39,1412,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2021-11-01,103,1243,NA,NA,NA
"R10","Salt River @ Blue pt. Bridge",NA,"Salt River @ Blue pt. Bridge",2021-11-01,39,443,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2021-11-01,56,409,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2021-11-01,33,582,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2021-11-01,28,566,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2021-11-01,72,928,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2021-11-01,61,687,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2021-11-01,88,1402,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2021-11-01,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2021-11-01,13,458,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2021-12-01,226,108,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2021-12-01,245,66,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2021-12-01,NA,NA,NA,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2021-12-01,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2021-12-01,178,351,NA,NA,NA
"R10","Salt River @ Blue pt. Bridge",NA,"Salt River @ Blue pt. Bridge",2021-12-01,22,346,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2021-12-01,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2021-12-01,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2021-12-01,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2021-12-01,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2021-12-01,61,457,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2021-12-01,32,335,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2021-12-01,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2021-12-01,NA,NA,NA,NA,NA
"24th In","AZ Canal - Inlet to 24th St WTP","srp","AZ canal @ 24th St",2022-01-01,NA,NA,NA,NA,NA
"24th Out","24th St WTP treated water","srp","24th St -treated",2022-01-01,NA,NA,NA,NA,NA
"AN IN","Anthem WTP inlet",NA,"Anthem",2022-01-01,NA,NA,NA,NA,NA
"AN OUT","Anthem WTP outlet",NA,"Anthem",2022-01-01,NA,NA,NA,NA,NA
"CH IN","Chandler WTP inlet",NA,"Chandler",2022-01-01,NA,NA,0,NA,NA
"CH OUT","Chandler WTP outlet",NA,"Chandler",2022-01-01,NA,NA,2,NA,NA
"GL IN","Glendale WTP Inlet",NA,"Glen In",2022-01-01,NA,NA,NA,NA,NA
"GL OUT","Glendale WTP Outlet",NA,"Glen Out",2022-01-01,NA,NA,NA,NA,NA
"GR IN","Greenway WTP Inlet","srp","Green In",2022-01-01,NA,NA,0,NA,NA
"GR OUT","Greenway WTP Outlet","srp","Green Out",2022-01-01,NA,NA,1,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2022-01-01,24,64,0,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2022-01-01,49,74,3,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2022-01-01,NA,NA,NA,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2022-01-01,19,53,18,NA,NA
"NP IN","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2022-01-01,NA,NA,NA,NA,NA
"NP OUT","Tempe's North Plant treated water","tempe","North plant outlet",2022-01-01,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2022-01-01,20,83,4,NA,NA
"R10","Salt River @ Blue pt. Bridge",NA,"Salt River @ Blue pt. Bridge",2022-01-01,4,71,0,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2022-01-01,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2022-01-01,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2022-01-01,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2022-01-01,58,104,22,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2022-01-01,88,114,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2022-01-01,17,96,0,NA,NA
"R3","Waddell Canal","cap","waddell canal",2022-01-01,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2022-01-01,11,61,0,NA,NA
"SPT IN","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2022-01-01,NA,NA,NA,NA,NA
"SPT OUT","Tempe's South Plant treated water","tempe","STP Out",2022-01-01,NA,NA,NA,NA,NA
"UH IN","Union Hills Inlet","cap","Union Hills Inlet",2022-01-01,NA,NA,2,NA,NA
"UH OUT","Union Hills Treated Water","cap","Union Hills Outlet",2022-01-01,NA,NA,0,NA,NA
"24th In","AZ Canal - Inlet to 24th St WTP","srp","AZ canal @ 24th St",2022-02-22,NA,NA,NA,NA,NA
"24th Out","24th St WTP treated water","srp","24th St -treated",2022-02-22,NA,NA,NA,NA,NA
"AN IN","Anthem WTP inlet",NA,"Anthem",2022-02-22,NA,NA,NA,NA,NA
"AN OUT","Anthem WTP outlet",NA,"Anthem",2022-02-22,NA,NA,NA,NA,NA
"CH IN","Chandler WTP inlet",NA,"Chandler",2022-02-22,NA,NA,NA,NA,NA
"CH OUT","Chandler WTP outlet",NA,"Chandler",2022-02-22,NA,NA,NA,NA,NA
"GL IN","Glendale WTP Inlet",NA,"Glen In",2022-02-22,NA,NA,NA,NA,NA
"GL OUT","Glendale WTP Outlet",NA,"Glen Out",2022-02-22,NA,NA,NA,NA,NA
"GR IN","Greenway WTP Inlet","srp","Green In",2022-02-22,NA,NA,0,NA,NA
"GR OUT","Greenway WTP Outlet","srp","Green Out",2022-02-22,NA,NA,0,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2022-02-22,13,67,1,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2022-02-22,13,102,0,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2022-02-22,48,129,1,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2022-02-22,32,86,0,NA,NA
"NP IN","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2022-02-22,NA,NA,NA,NA,NA
"NP OUT","Tempe's North Plant treated water","tempe","North plant outlet",2022-02-22,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2022-02-22,51,284,2,NA,NA
"R10","Salt River @ Blue pt. Bridge",NA,"Salt River @ Blue pt. Bridge",2022-02-22,4,248,0,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2022-02-22,8,36,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2022-02-22,14,51,0,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2022-02-22,19,68,4,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2022-02-22,39,626,1,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2022-02-22,65,121,4,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2022-02-22,15,74,0,NA,NA
"R3","Waddell Canal","cap","waddell canal",2022-02-22,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2022-02-22,29,143,0,NA,NA
"SPT IN","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2022-02-22,NA,NA,NA,NA,NA
"SPT OUT","Tempe's South Plant treated water","tempe","STP Out",2022-02-22,NA,NA,NA,NA,NA
"UH IN","Union Hills Inlet","cap","Union Hills Inlet",2022-02-22,NA,NA,NA,NA,NA
"UH OUT","Union Hills Treated Water","cap","Union Hills Outlet",2022-02-22,NA,NA,NA,NA,NA
"24th In","AZ Canal - Inlet to 24th St WTP","srp","AZ canal @ 24th St",2022-03-18,NA,NA,NA,NA,NA
"24th Out","24th St WTP treated water","srp","24th St -treated",2022-03-18,NA,NA,NA,NA,NA
"AN IN","Anthem WTP inlet",NA,"Anthem",2022-03-18,NA,NA,NA,NA,NA
"AN OUT","Anthem WTP outlet",NA,"Anthem",2022-03-18,NA,NA,NA,NA,NA
"CH IN","Chandler WTP inlet",NA,"Chandler",2022-03-18,NA,NA,0,NA,NA
"CH OUT","Chandler WTP outlet",NA,"Chandler",2022-03-18,NA,NA,0,NA,NA
"GL IN","Glendale WTP Inlet",NA,"Glen In",2022-03-18,NA,NA,NA,NA,NA
"GL OUT","Glendale WTP Outlet",NA,"Glen Out",2022-03-18,NA,NA,NA,NA,NA
"GR IN","Greenway WTP Inlet","srp","Green In",2022-03-18,NA,NA,0,NA,NA
"GR OUT","Greenway WTP Outlet","srp","Green Out",2022-03-18,NA,NA,0,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2022-03-18,33,75,0,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2022-03-18,19,79,1,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2022-03-18,20,127,0,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2022-03-18,27,61,2,NA,NA
"NP IN","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2022-03-18,NA,NA,NA,NA,NA
"NP OUT","Tempe's North Plant treated water","tempe","North plant outlet",2022-03-18,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2022-03-18,108,166,2,NA,NA
"R10","Salt River @ Blue pt. Bridge",NA,"Salt River @ Blue pt. Bridge",2022-03-18,6,129,0,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2022-03-18,8,34,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2022-03-18,23,51,0,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2022-03-18,17,50,3,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2022-03-18,60,345,1,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2022-03-18,109,192,10,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2022-03-18,81,127,1,NA,NA
"R3","Waddell Canal","cap","waddell canal",2022-03-18,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2022-03-18,19,53,2,NA,NA
"SPT IN","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2022-03-18,NA,NA,NA,NA,NA
"SPT OUT","Tempe's South Plant treated water","tempe","STP Out",2022-03-18,NA,NA,NA,NA,NA
"UH IN","Union Hills Inlet","cap","Union Hills Inlet",2022-03-18,NA,NA,0,NA,NA
"UH OUT","Union Hills Treated Water","cap","Union Hills Outlet",2022-03-18,NA,NA,1,NA,NA
"24th In","AZ Canal - Inlet to 24th St WTP","srp","AZ canal @ 24th St",2022-04-18,NA,NA,NA,NA,NA
"24th Out","24th St WTP treated water","srp","24th St -treated",2022-04-18,NA,NA,NA,NA,NA
"AN IN","Anthem WTP inlet",NA,"Anthem",2022-04-18,NA,NA,NA,NA,NA
"AN OUT","Anthem WTP outlet",NA,"Anthem",2022-04-18,NA,NA,NA,NA,NA
"CH IN","Chandler WTP inlet",NA,"Chandler",2022-04-18,NA,NA,0,NA,NA
"CH OUT","Chandler WTP outlet",NA,"Chandler",2022-04-18,NA,NA,0,NA,NA
"GL IN","Glendale WTP Inlet",NA,"Glen In",2022-04-18,NA,NA,NA,NA,NA
"GL OUT","Glendale WTP Outlet",NA,"Glen Out",2022-04-18,NA,NA,NA,NA,NA
"GR IN","Greenway WTP Inlet","srp","Green In",2022-04-18,NA,NA,0,NA,NA
"GR OUT","Greenway WTP Outlet","srp","Green Out",2022-04-18,NA,NA,0,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2022-04-18,47,556,2,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2022-04-18,56,524,0,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2022-04-18,32,438,2,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2022-04-18,35,123,0,NA,NA
"NP IN","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2022-04-18,NA,NA,NA,NA,NA
"NP OUT","Tempe's North Plant treated water","tempe","North plant outlet",2022-04-18,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2022-04-18,48,514,2,NA,NA
"R10","Salt River @ Blue pt. Bridge",NA,"Salt River @ Blue pt. Bridge",2022-04-18,38,135,8,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2022-04-18,12,58,1,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2022-04-18,12,151,0,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2022-04-18,19,302,1,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2022-04-18,61,530,1,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2022-04-18,31,250,5,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2022-04-18,25,102,2,NA,NA
"R3","Waddell Canal","cap","waddell canal",2022-04-18,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2022-04-18,37,344,1,NA,NA
"SPT IN","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2022-04-18,NA,NA,NA,NA,NA
"SPT OUT","Tempe's South Plant treated water","tempe","STP Out",2022-04-18,NA,NA,NA,NA,NA
"UH IN","Union Hills Inlet","cap","Union Hills Inlet",2022-04-18,NA,NA,0,NA,NA
"UH OUT","Union Hills Treated Water","cap","Union Hills Outlet",2022-04-18,NA,NA,0,NA,NA
"24th In","AZ Canal - Inlet to 24th St WTP","srp","AZ canal @ 24th St",2022-05-23,NA,NA,NA,NA,NA
"24th Out","24th St WTP treated water","srp","24th St -treated",2022-05-23,NA,NA,NA,NA,NA
"AN IN","Anthem WTP inlet",NA,"Anthem",2022-05-23,NA,NA,NA,NA,NA
"AN OUT","Anthem WTP outlet",NA,"Anthem",2022-05-23,NA,NA,NA,NA,NA
"CH IN","Chandler WTP inlet",NA,"Chandler",2022-05-23,NA,NA,0,NA,NA
"CH OUT","Chandler WTP outlet",NA,"Chandler",2022-05-23,NA,NA,0,NA,NA
"GL IN","Glendale WTP Inlet",NA,"Glen In",2022-05-23,NA,NA,NA,NA,NA
"GL OUT","Glendale WTP Outlet",NA,"Glen Out",2022-05-23,NA,NA,NA,NA,NA
"GR IN","Greenway WTP Inlet","srp","Green In",2022-05-23,NA,NA,0,NA,NA
"GR OUT","Greenway WTP Outlet","srp","Green Out",2022-05-23,NA,NA,0,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2022-05-23,49,359,3,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2022-05-23,68,310,2,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2022-05-23,7,184,0,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2022-05-23,46,254,1,NA,NA
"NP IN","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2022-05-23,NA,NA,1,NA,NA
"NP OUT","Tempe's North Plant treated water","tempe","North plant outlet",2022-05-23,NA,NA,0,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2022-05-23,12,290,1,NA,NA
"R10","Salt River @ Blue pt. Bridge",NA,"Salt River @ Blue pt. Bridge",2022-05-23,24,325,4,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2022-05-23,11,113,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2022-05-23,9,170,0,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2022-05-23,13,226,2,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2022-05-23,23,296,2,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2022-05-23,22,292,1,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2022-05-23,14,216,2,NA,NA
"R3","Waddell Canal","cap","waddell canal",2022-05-23,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2022-05-23,4,191,7,NA,NA
"SPT IN","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2022-05-23,NA,NA,6,NA,NA
"SPT OUT","Tempe's South Plant treated water","tempe","STP Out",2022-05-23,NA,NA,0,NA,NA
"UH IN","Union Hills Inlet","cap","Union Hills Inlet",2022-05-23,NA,NA,0,NA,NA
"UH OUT","Union Hills Treated Water","cap","Union Hills Outlet",2022-05-23,NA,NA,0,NA,NA
"24th In","AZ Canal - Inlet to 24th St WTP","srp","AZ canal @ 24th St",2022-06-14,NA,NA,NA,NA,NA
"24th Out","24th St WTP treated water","srp","24th St -treated",2022-06-14,NA,NA,NA,NA,NA
"AN IN","Anthem WTP inlet",NA,"Anthem",2022-06-14,NA,NA,NA,NA,NA
"AN OUT","Anthem WTP outlet",NA,"Anthem",2022-06-14,NA,NA,NA,NA,NA
"CH IN","Chandler WTP inlet",NA,"Chandler",2022-06-14,NA,NA,2,NA,NA
"CH OUT","Chandler WTP outlet",NA,"Chandler",2022-06-14,NA,NA,0,NA,NA
"GL IN","Glendale WTP Inlet",NA,"Glen In",2022-06-14,NA,NA,NA,NA,NA
"GL OUT","Glendale WTP Outlet",NA,"Glen Out",2022-06-14,NA,NA,NA,NA,NA
"GR IN","Greenway WTP Inlet","srp","Green In",2022-06-14,NA,NA,1,NA,NA
"GR OUT","Greenway WTP Outlet","srp","Green Out",2022-06-14,NA,NA,0,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2022-06-14,106,704,1,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2022-06-14,105,452,1,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2022-06-14,18,223,4,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2022-06-14,54,254,1,NA,NA
"NP IN","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2022-06-14,NA,NA,NA,NA,NA
"NP OUT","Tempe's North Plant treated water","tempe","North plant outlet",2022-06-14,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2022-06-14,24,252,2,NA,NA
"R10","Salt River @ Blue pt. Bridge",NA,"Salt River @ Blue pt. Bridge",2022-06-14,31,101,3,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2022-06-14,91,175,2,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2022-06-14,98,188,5,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2022-06-14,32,164,2,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2022-06-14,88,442,0,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2022-06-14,48,596,0,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2022-06-14,52,202,2,NA,NA
"R3","Waddell Canal","cap","waddell canal",2022-06-14,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2022-06-14,19,258,4,NA,NA
"SPT IN","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2022-06-14,NA,NA,NA,NA,NA
"SPT OUT","Tempe's South Plant treated water","tempe","STP Out",2022-06-14,NA,NA,NA,NA,NA
"UH IN","Union Hills Inlet","cap","Union Hills Inlet",2022-06-14,NA,NA,0,NA,NA
"UH OUT","Union Hills Treated Water","cap","Union Hills Outlet",2022-06-14,NA,NA,0,NA,NA
"24th In","AZ Canal - Inlet to 24th St WTP","srp","AZ canal @ 24th St",2022-07-12,NA,NA,NA,NA,NA
"24th Out","24th St WTP treated water","srp","24th St -treated",2022-07-12,NA,NA,NA,NA,NA
"AN IN","Anthem WTP inlet",NA,"Anthem",2022-07-12,NA,NA,NA,NA,NA
"AN OUT","Anthem WTP outlet",NA,"Anthem",2022-07-12,NA,NA,NA,NA,NA
"CH IN","Chandler WTP inlet",NA,"Chandler",2022-07-12,NA,NA,1,NA,NA
"CH OUT","Chandler WTP outlet",NA,"Chandler",2022-07-12,NA,NA,0,NA,NA
"GL IN","Glendale WTP Inlet",NA,"Glen In",2022-07-12,NA,NA,NA,NA,NA
"GL OUT","Glendale WTP Outlet",NA,"Glen Out",2022-07-12,NA,NA,NA,NA,NA
"GR IN","Greenway WTP Inlet","srp","Green In",2022-07-12,NA,NA,0,NA,NA
"GR OUT","Greenway WTP Outlet","srp","Green Out",2022-07-12,NA,NA,0,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2022-07-12,60,366,0,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2022-07-12,41,292,2,NA,NA
